Song Title,Song Artist,Beat,BPM,Source,Genre
You can't always get what you want,The Rolling Stones,Beat Buddy: You can't always get what you want,86,Premium Library,Rock
Satisfaction,The Rolling Stones,Beat Buddy: Satisfaction,136,Premium Library,Rock
American Girl,Tom Petty,Beat Buddy: American Girl,115,Premium Library,Rock
Breakdown,Tom Petty,Beat Buddy: Breakdown,114,Premium Library,Rock
Don't Do Me Like That,Tom Petty,Beat Buddy: Don't Do Me Like That,117,Premium Library,Rock
I Won't Back Down,Tom Petty,Beat Buddy: I Won't Back Down,114,Premium Library,Rock
Learning To Fly,Tom Petty,Beat Buddy: Learning To Fly,117,Premium Library,Rock
Mary Jane's Last Dance,Tom Petty,Beat Buddy: Mary Jane's Last Dance,170,Premium Library,Rock
Refugee,Tom Petty,Beat Buddy: Refugee,116,Premium Library,Rock
Running Down A Dream,Tom Petty,Beat Buddy: Running Down A Dream,166,Premium Library,Rock
The Waiting,Tom Petty,Beat Buddy: The Waiting,120,Premium Library,Rock
Bad,U2,Beat Buddy: Bad,98,Premium Library,Rock
Beautiful Day,U2,Beat Buddy: Beautiful Day,136,Premium Library,Rock
Mysterious Ways,U2,Beat Buddy: Mysterious Ways,100,Premium Library,Rock
New Year's Day,U2,Beat Buddy: New Year's Day,133,Premium Library,Rock
One,U2,Beat Buddy: One,91,Premium Library,Rock
Pride (In The Name Of Love),U2,Beat Buddy: Pride (In The Name Of Love),106,Premium Library,Rock
Sunday Bloody Sunday,U2,Beat Buddy: Sunday Bloody Sunday,101,Premium Library,Rock
Where The Streets Have No Name,U2,Beat Buddy: Where The Streets Have No Name,126,Premium Library,Rock
With Or Without You,U2,Beat Buddy: With Or Without You,110,Premium Library,Rock
"10,000 Reasons",Matt Redman,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,84,Default Library,Worship
All My Days,Marinatha Singers,Beat Buddy: Blues 5- 6/8Beat Buddy Mini: Blues 3Beat Buddy Mini 2: Blues 5- 6/8,84,Default Library,Worship
As the Deer,Hymn/Traditional,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,68,Default Library,Worship
Ascribe Greatness,Don Moen,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,95,Default Library,Worship
At Your Name,Phil Wickham,Beat Buddy: Ballad 1Beat Buddy Mini: Perc 3Beat Buddy Mini 2: Ballad 1,90,Default Library,Worship
Blessed Be Your Name,Tree63,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,116,Default Library,Worship
Came to My Rescue,Hillsong,Beat Buddy: Ballad 1Beat Buddy Mini: Perc 3Beat Buddy Mini 2: Ballad 1,91,Default Library,Worship
Christ Is Enough,Hillsong,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,91,Default Library,Worship
Come People of The Risen King,Keith and Kristyn Getty,Beat Buddy: Brushes 10- Spanish RumbaBeat Buddy Mini: Brushes 5Beat Buddy Mini 2: Brushes 10- Spanish Rumba,100,Default Library,Worship
Cornerstone,Hillsong,Beat Buddy: Ballad 8,85,Default Library,Worship
Forever Reign,Hillsong,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,90,Default Library,Worship
God my Rock,Brenton Brown,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,93,Default Library,Worship
Great Are You Lord,All Sons and Daughters,Beat Buddy: Odd Time 3- 6/8Beat Buddy Mini 2: Odd Time 3- 6/8,70,Default Library,Worship
Hallelujah (Your love is amazing) #2,Brenton Brown,Beat Buddy: Funk 3- str 16thsBeat Buddy Mini 2: Funk 3- str 16ths,95,Default Library,Worship
He Is Faithful,Jesus Culture,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,144,Default Library,Worship
Hosanna (Praise Is Rising),Brenton Brown,Beat Buddy: Techno 4Beat Buddy Mini: Techno 3Beat Buddy Mini 2: Techno 4,114,Default Library,Worship
How Can I Keep From Singing Your Praise,Chris Tomlin,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,104,Default Library,Worship
Indescribable,Chris Tomlin,Beat Buddy: Blues 7- 6/8Beat Buddy Mini 2: Blues 7- 6/8,96,Default Library,Worship
Jesus Love Me (the Bible tells me so),Hymn/Traditional,Beat Buddy: Techno 3Beat Buddy Mini: Techno 2Beat Buddy Mini 2: Techno 3,120,Default Library,Worship
Lord I Come Before Your Throne of Grace,Robert Critchley,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,80,Default Library,Worship
Meet with Me,Paul Baloche,Beat Buddy: Funk 1- str 16thsBeat Buddy Mini: Funk 1Beat Buddy Mini 2: Funk 1- str 16ths,104,Default Library,Worship
Mighty to Save,Hillsong,Beat Buddy: Funk 4- str 16thsBeat Buddy Mini: Funk 3Beat Buddy Mini 2: Funk 4- str 16ths,75,Default Library,Worship
Not By Might,Robin Mark,Beat Buddy: Pop 4- 16thsBeat Buddy Mini 2: Pop 4- 16ths,100,Default Library,Worship
Open The Eyes Of My Heart,Paul Baloche,Beat Buddy: Pop 4- 16thsBeat Buddy Mini 2: Pop 4- 16ths,110,Default Library,Worship
Praise Him,Hillsong,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,137,Default Library,Worship
Sing to the King,Billy Foote,Beat Buddy: Rock 4Beat Buddy Mini 2: Rock 4,120,Default Library,Worship
Spirit Break Out,Kim Walker-Smith,Beat Buddy: Rock 5- Jungle TomsBeat Buddy Mini 2: Rock 5- Jungle Toms,76,Default Library,Worship
Start A Fire,Unspoken,Beat Buddy: Punk 3Beat Buddy Mini: Punk 3Beat Buddy Mini 2: Punk 3,80,Default Library,Worship
Take Us to the River,Robin Mark,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,100,Default Library,Worship
This Is My Desire,Michael W Smith,Beat Buddy: Funk 4- str 16thsBeat Buddy Mini: Funk 3Beat Buddy Mini 2: Funk 4- str 16ths,75,Default Library,Worship
Trading My Sorrows,Darrell Evans,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,120,Default Library,Worship
Unchanging,Chris Tomlin,Beat Buddy: Pop 4- 16thsBeat Buddy Mini 2: Pop 4- 16ths,116,Default Library,Worship
We Believe,Graham Kendrick,Beat Buddy: Pop 7- anticipated 1Beat Buddy Mini: Pop 4Beat Buddy Mini 2: Pop 7- anticipated 1,105,Default Library,Worship
When I was lost,Kate Simmons,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,105,Default Library,Worship
Who am I (Friend of God),Casting Crowns,Beat Buddy: Techno 3Beat Buddy Mini: Techno 2Beat Buddy Mini 2: Techno 3,120,Default Library,Worship
Whom Shall I Fear,Chris Tomlin,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,78,Default Library,Worship
You Are My All in All,Dennis Jernigan,Beat Buddy: Oldie Song 4- Bum cha kaBeat Buddy Mini: Oldie 3Beat Buddy Mini 2: Oldie Song 4- Bum cha ka,120,Default Library,Worship
Green Onions,Booker T and the MG's,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,137,Default Library,Blues
"Poor, Poor Pitiful Me",Linda Ronstadt,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,128,Default Library,Country
Fire On The Mountain,Grateful Dead,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,102,Default Library,Country
Let it Bleed,The Rolling Stones,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,116,Default Library,Rock
Southern Nights,Glen Campbell,Beat Buddy: SkaBeat Buddy Mini: SkaBeat Buddy Mini 2: Ska,95,Default Library,Country
In Between Days,The Cure,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,143,Default Library,Rock
Poor poor pitiful me,Linda Rondstadt,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,128,Default Library,Country
The adventure,Angels and airwaves,Beat Buddy: Pop 4- 16thsBeat Buddy Mini 2: Pop 4- 16ths,144,Default Library,Rock
The Gambler,Kenny Rogers,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,87,Default Library,Country
The Gambler,Kenny Rogers,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,87,Default Library,Country
Just The Way You Are,Barry White,Beat Buddy: Ballad 13,75,Default Library,Ballad
Sweetest Girl (Dollar Bill),Wyclef Jean,Beat Buddy: Hip Hop 5Beat Buddy Mini: Hip Hop 3Beat Buddy Mini 2: Hip Hop 5,93,Default Library,Hip Hop
Creep,TLC,Beat Buddy: Hip Hop 8- swungBeat Buddy Mini 2: Hip Hop 8- swung,93,Default Library,Hip Hop
From the ground up,Dan and Shay,Beat Buddy: Ballad 2,51,Default Library,Ballad
You Give Love a Bad Name,Bon Jovi,Beat Buddy: Pop 6- 8thsBeat Buddy Mini: Pop 3Beat Buddy Mini 2: Pop 6- 8ths,123,Default Library,Rock
Runaway,Bon Jovi,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,152,Default Library,Rock
Colour My World,Chicago,Beat Buddy: Blues 3- 6/8Beat Buddy Mini: Blues 2Beat Buddy Mini 2: Blues 3- 6/8,79,Default Library,Ballad
Hallelujah,Leonard Cohen,Beat Buddy: Blues 3- 6/8Beat Buddy Mini: Blues 2Beat Buddy Mini 2: Blues 3- 6/8,171,Default Library,Ballad
Hoochie Coochie Man,Eric Clapton,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,81,Default Library,Blues
The Dock of the Bay,Otis Redding,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,104,Default Library,Country
Sweet Home Chicago,The Blues Brothers,Beat Buddy: SkaBeat Buddy Mini 2: Ska,126,Default Library,Blues
All My EX's Live In Texas,George Strait,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,131,Default Library,Country
Some Beach,Blake Shelton,Beat Buddy: Ballad 2,116,Default Library,Country
Blessed Be Your Name,Matt Redman,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,116,Default Library,Worship
Come As You Are,Crowder,Beat Buddy: Wonderful World,67,Default Library,Ballad
Breathe,Marie Barnett,Beat Buddy: Ballad 2,69,Default Library,Worship
I'm so tired,The Beatles,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,69,Default Library,Rock
Old Town Road,Lil Nas X,Beat Buddy: Hip Hop 8- swungBeat Buddy Mini 2: Hip Hop 8- swung,68,Default Library,Hip Hop
Broken down angel,Nazareth,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,125,Default Library,Rock
Dont throw your love away,The Searchers,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,122,Default Library,Rock
Good Loving,The Rascals,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,198,Default Library,Rock
Im On My Way,Proclaimers,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,119,Default Library,Rock
Thinking out loud,Ed Sheeran,Beat Buddy: Hip Hop 4Beat Buddy Mini 2: Hip Hop 4,79,Default Library,Ballad
Pride and Joy,Stevie Ray Vaughn,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,127,Default Library,Blues
Home,Michael Buble,Beat Buddy: Ballad 2,65,Default Library,Ballad
In the year 2525,Zager & Evans,Beat Buddy: Oldie 1- 4 on snareBeat Buddy Mini: Oldie 1Beat Buddy Mini 2: Oldie 1- 4 on snare,124,Default Library,Rock
Fire,Barns Courtney,Beat Buddy: Rock 5- Jungle TomsBeat Buddy Mini 2: Rock 5- Jungle Toms,108,Default Library,Country
I'm Leaving You,Scorpions,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,143,Default Library,Rock
Dust my broom,Elmore James,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,102,Default Library,Blues
Big City Nights,Scorpions,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,138,Default Library,Rock
Eat the Rich,Krokus,Beat Buddy: Punk 3Beat Buddy Mini: Punk 3Beat Buddy Mini 2: Punk 3,144,Default Library,Rock
Fight For Your Right,Beastie Boys,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,134,Default Library,Rock
Gel,Collective Soul,Beat Buddy: Punk 1Beat Buddy Mini: Punk 1Beat Buddy Mini 2: Punk 1,143,Default Library,Rock
Grinder,Judas Priest,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,140,Default Library,Rock
Lady Strange,Def Leppard,Beat Buddy: Rock 4Beat Buddy Mini 2: Rock 4,136,Default Library,Rock
Living After Midnight,Judas Priest,Beat Buddy: Pop-Rock Str8Beat Buddy Mini 2: Pop-Rock Str8,135,Default Library,Rock
Midnight Mover,Accept,Beat Buddy: Pop 12- 8thsBeat Buddy Mini 2: Pop 12- 8ths,147,Default Library,Rock
One Way to Rock,Sammy Hagar,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,153,Default Library,Rock
Princess of the Dawn,Accept,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,129,Default Library,Rock
Crush of Love,Joe Satriani,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,109,Default Library,Rock
Twist of Cain,Dazing,Beat Buddy: Rock 4Beat Buddy Mini 2: Rock 4,119,Default Library,Rock
Supersonic,Oasis,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,104,Default Library,Rock
Lonely Boy,The Black Keys,Beat Buddy: Oldie Song 4- Bum cha kaBeat Buddy Mini: Oldie 3Beat Buddy Mini 2: Oldie Song 4- Bum cha ka,166,Default Library,Rock
Map of the problematic,Muse,Beat Buddy: Pop 4- 16thsBeat Buddy Mini 2: Pop 4- 16ths,125,Default Library,Rock
Six Blade Knife,Dire Straits,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,117,Default Library,Blues
Honky Tonk Women,The Rolling Stones,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,120,Default Library,Rock
Dani California,Red Hot Chili Peppers,Beat Buddy: Funk 7- swungBeat Buddy Mini: Funk 4Beat Buddy Mini 2: Funk 7- swung,96,Default Library,Rock
You really got me,The Kinks,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,137,Default Library,Rock
waiting for my man,Lou Reed,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,92,Default Library,Rock
Time Is running out,Muse,Beat Buddy: Ballad 2,118,Default Library,Rock
Gold on the ceiling,The Black Keys,Beat Buddy: Country 1- ShuffleBeat Buddy Mini: Country 1Beat Buddy Mini 2: Country 1- Shuffle,130,Default Library,Rock
She Sells Sanctuary,The Cult,Beat Buddy: Ballad 2,139,Default Library,Rock
Commotion,Creedence Clearwater Revival,Beat Buddy: Oldie 3- 4 on snareBeat Buddy Mini: Oldie 2Beat Buddy Mini 2: Oldie 3- 4 on snare,127,Default Library,Rock
Zoe jane,Staind,Beat Buddy: Brushes 5- 3/4 Half time Shuffle PopBeat Buddy Mini: Brushes 3Beat Buddy Mini 2: Brushes 5- 3/4 Half time Shuffle Pop,118,Default Library,Rock
Santeria,Sublime,Beat Buddy: Reggae 1- backbeatBeat Buddy Mini 2: Reggae 1- backbeat,90,Default Library,Rock
Jammin,Bob Marley,Beat Buddy: Reggae 9- swung stompBeat Buddy Mini: Reggae 5Beat Buddy Mini 2: Reggae 9- swung stomp,61,Default Library,Reggae
Love Her Madly,The Doors,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,147,Default Library,Rock
women have a way with a fool,Coco Montoya,Beat Buddy: Pop-Rock Str8Beat Buddy Mini 2: Pop-Rock Str8,87,Default Library,Blues
Had Enough,Tommy Castro,Beat Buddy: Ballad 2,128,Default Library,Blues
Had Enough,Tommy Castro,Beat Buddy: Ballad 2,128,Default Library,Blues
This Soul is Mine,Tommy Castro,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,157,Default Library,Blues
Pretty Woman,Roby Orbison,Beat Buddy: Oldie 1- 4 on snareBeat Buddy Mini: Oldie 1Beat Buddy Mini 2: Oldie 1- 4 on snare,127,Default Library,Rock
Streets of Philadelphia,Bruce Springsteen,Beat Buddy: Rock 11Beat Buddy Mini 2: Rock 11,94,Default Library,Rock
Dock of the bat,Otis Redding,Beat Buddy: Pop 8- 8thsBeat Buddy Mini 2: Pop 8- 8ths,104,Default Library,Rock
Pour Some Sugar On Me,Def Leppard,Beat Buddy: Pop 12- 8thsBeat Buddy Mini 2: Pop 12- 8ths,85,Default Library,Rock
Pretzel Logic,Steely Dan,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,144,Default Library,Blues
China Grove,The Doobie Brothers,Beat Buddy: Pop 12- 8thsBeat Buddy Mini 2: Pop 12- 8ths,146,Default Library,Rock
Stray Cat Strut,Stray Cat Strut,Beat Buddy: Ballad 2,132,Default Library,Rock
I just Wannta Dance With You,George Strait,Beat Buddy: Pop-Rock Str8Beat Buddy Mini 2: Pop-Rock Str8,114,Default Library,Country
I Can Only Imagine,MercyMe,Beat Buddy: Pop 9- 8thsBeat Buddy Mini 2: Pop 9- 8ths,80,Default Library,Worship
Talkin' Bout a Revolution,Tracy Chapman,Beat Buddy: Rock 8Beat Buddy Mini: Rock 3Beat Buddy Mini 2: Rock 8,119,Default Library,Rock
Is She Really Going Out With Him?,Joe Jackson,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,116,Default Library,Rock
SONG 2,Blur,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,130,Default Library,Rock
SONG 2,Blur,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,130,Default Library,Rock
Circles,Incubus,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,90,Default Library,Rock
How did we get so dark?,Royal Blood,Beat Buddy: Pop 8- 8thsBeat Buddy Mini 2: Pop 8- 8ths,133,Default Library,Rock
Lights out,Royal Blood,Beat Buddy: Rock 3Beat Buddy Mini 2: Rock 3,90,Default Library,Rock
Lights out,Royal Blood,Beat Buddy: Rock 3Beat Buddy Mini 2: Rock 3,90,Default Library,Rock
Call me,Go West,Beat Buddy: Ballad 2,163,Default Library,Pop
We close our eyes,Go West,Beat Buddy: Ballad 2,131,Default Library,Pop
We close our eyes,Go West,Beat Buddy: Ballad 2,131,Default Library,Pop
Hot love,T. Rex,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,131,Default Library,Country
A Whiter Shade of Pale,Procol Harum,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,75,Default Library,Rock
Still Haven't Found What I'm Looking For,U2,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,101,Default Library,Rock
Don't be cruel,Elvis Presley,Beat Buddy: Oldie 1- 4 on snareBeat Buddy Mini: Oldie 1Beat Buddy Mini 2: Oldie 1- 4 on snare,85,Default Library,Rock
I'm a lonesome fugitive,Merle Haggard,Beat Buddy: Country 1- ShuffleBeat Buddy Mini: Country 1Beat Buddy Mini 2: Country 1- Shuffle,127,Default Library,Country
ABilene,George Hamilton,Beat Buddy: Country 1- ShuffleBeat Buddy Mini: Country 1Beat Buddy Mini 2: Country 1- Shuffle,127,Default Library,Country
Paranoid,Black Sabbath,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,163,Default Library,Rock
My Girl,The Temptations,Beat Buddy: Pop 8- 8thsBeat Buddy Mini 2: Pop 8- 8ths,105,Default Library,Ballad
Crazy Little Thing Called Love,Queen,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,154,Default Library,Rock
She just Wants To Dance,Keb' Mo',Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,112,Default Library,Country
A Horse With No Name,America,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,123,Default Library,Rock
A World Of Our Own,The Seekers,Beat Buddy: Country 1- ShuffleBeat Buddy Mini: Country 1Beat Buddy Mini 2: Country 1- Shuffle,176,Default Library,Country
All I Have To Do Is Dream,The Everly Brothers,Beat Buddy: Oldie Song 4- Bum cha kaBeat Buddy Mini: Oldie 3Beat Buddy Mini 2: Oldie Song 4- Bum cha ka,96,Default Library,Rock
Another Saturday Night,Sam Cooke,Beat Buddy: Rock 7Beat Buddy Mini 2: Rock 7,123,Default Library,Rock
Blue Suede Shoes,Elvis Presley,Beat Buddy: Country 1- ShuffleBeat Buddy Mini: Country 1Beat Buddy Mini 2: Country 1- Shuffle,188,Default Library,Blues
Bus Stop,The Hollies,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,137,Default Library,Rock
Bye Bye Love,The Everly Brothers,Beat Buddy: Country 1- ShuffleBeat Buddy Mini: Country 1Beat Buddy Mini 2: Country 1- Shuffle,170,Default Library,Rock
Can't Help Falling In Love With You,Elvis Presley,Beat Buddy: Wonderful World,98,Default Library,Ballad
Carry On,J.J Cale,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,111,Default Library,Country
Cotton Fields,Creedence Clearwater Revival,Beat Buddy: Rock 2Beat Buddy Mini: Rock 2Beat Buddy Mini 2: Rock 2,149,Default Library,Rock
Dance The Night Away,The Mavericks,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,142,Default Library,Rock
Delilah,Tom Jones,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,96,Default Library,Ballad
Don't Cry Sister,J.J Cale,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,97,Default Library,Blues
Downtown,Petula Clark,Beat Buddy: Oldie Song 4- Bum cha kaBeat Buddy Mini: Oldie 3Beat Buddy Mini 2: Oldie Song 4- Bum cha ka,117,Default Library,Ballad
Trouble No More,The Allman Brothers,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,142,Default Library,Blues
Dont Keep Me Wonderin',The Allman Brothers,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,92,Default Library,Blues
One way out,The Allman Brothers,Beat Buddy: Oldie 1- 4 on snareBeat Buddy Mini: Oldie 1Beat Buddy Mini 2: Oldie 1- 4 on snare,107,Default Library,Blues
Whipping post,The Allman Brothers,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,98,Default Library,Blues
Whipping post,The Allman Brothers,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,98,Default Library,Blues
Come and Go Blues,The Allman Brothers,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,91,Default Library,Blues
Done somebody wrong,The Allman Brothers,Beat Buddy: Country 4- ShuffleBeat Buddy Mini: Country 3Beat Buddy Mini 2: Country 4- Shuffle,133,Default Library,Blues
Come Rain and Come Shine,Frank Sinatra,Beat Buddy: Jazz 1- med swingBeat Buddy Mini: Jazz 1Beat Buddy Mini 2: Jazz 1- med swing,167,Default Library,Ballad
Why Don't You Do Right,Peggy Lee,Beat Buddy: Jazz 1- med swingBeat Buddy Mini: Jazz 1Beat Buddy Mini 2: Jazz 1- med swing,123,Default Library,Ballad
Aguas de mar̤o,Antonio Carlos Jobim,Beat Buddy: Bossa Nova 2Beat Buddy Mini 2: Bossa Nova 2,144,Default Library,Ballad
Cigano,Djavan,Beat Buddy: Reggae 6- stompBeat Buddy Mini: Reggae 3Beat Buddy Mini 2: Reggae 6- stomp,60,Default Library,Ska
Sudacas,Juan Carlos Caceres,Beat Buddy: Rumba Guaguanco (3-2)Beat Buddy Mini 2: Rumba Guaguanco (3-2),236,Default Library,Latin
C'est la ouate,Caroline Loeb,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,97,Default Library,Pop
C'est la ouate,Caroline Loeb,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,97,Default Library,Pop
Fais comme l oiseau,Michel Fugain,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,84,Default Library,Ballad
La Belle Dame Sans Regrets,Sting,Beat Buddy: Reggae 1- backbeatBeat Buddy Mini 2: Reggae 1- backbeat,72,Default Library,Ballad
Le Temps des Cath̩drales,Bruno Pelletier,Beat Buddy: Ballad 2,74,Default Library,Ballad
Autumn Leaves,Eric Clapton,Beat Buddy: Brushes 3- Half time shuffleBeat Buddy Mini 2: Brushes 3- Half time shuffle,83,Default Library,Ballad
Ne me quitte pas,Wyclef Jean,Beat Buddy: Pop 8- 8thsBeat Buddy Mini 2: Pop 8- 8ths,90,Default Library,Hip Hop
ON VA S'AIMER,Gilbert Montagne,Beat Buddy: Pop 1- 16thsBeat Buddy Mini: Pop 1Beat Buddy Mini 2: Pop 1- 16ths,131,Default Library,Pop
Rockcollection,Laurent Voulzy,Beat Buddy: Pop 12- 8thsBeat Buddy Mini 2: Pop 12- 8ths,130,Default Library,Rock
We Are The Champions,Queen,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,95,Default Library,Rock
What a wonderful world,Lous Armstrong,Beat Buddy: Wonderful World,77,Default Library,Ballad
When the world is running down,The Police,Beat Buddy: Pop-Rock Str8Beat Buddy Mini 2: Pop-Rock Str8,124,Default Library,Funk
Your Eyes,Simply Red,Beat Buddy: Pop 2- 16thsBeat Buddy Mini 2: Pop 2- 16ths,105,Default Library,Pop
Solo tu,Matia Bazar,Beat Buddy: SkaBeat Buddy Mini 2: Ska,80,Default Library,Pop
Higher and higher,Jackie Wlson,Beat Buddy: Oldie 3- 4 on snareBeat Buddy Mini: Oldie 2Beat Buddy Mini 2: Oldie 3- 4 on snare,96,Default Library,Rock
Happiness is a warm gun,The Beatles,Beat Buddy: Ballad 2,69,Default Library,Rock
Happiness is a warm gun,The Beatles,Beat Buddy: Ballad 2,69,Default Library,Rock
Piscatore 'e Pusilleco,Massimo Ranieri,Beat Buddy: Blues 4- 6/8Beat Buddy Mini 2: Blues 4- 6/8,55,Default Library,Ballad
Knocking on Heaven's Door,Bob Dylan,Beat Buddy: Ballad 2,70,Default Library,Ballad
It's not Unusual,Tom Jones,Beat Buddy: Pop 4- 16thsBeat Buddy Mini 2: Pop 4- 16ths,93,Default Library,Pop
It's Too Late,Carole King,Beat Buddy: Ballad 3,103,Default Library,Rock
