Song Title,Song Artist,Beat,BPM,Source,Genre
Cumbersome,Seven Mary Three,Beat Buddy: Rock 3Beat Buddy Mini 2: Rock 3,95,Default Library,Rock
Dance Hall Days,Wang Chung,Beat Buddy: Pop 4- 16thsBeat Buddy Mini 2: Pop 4- 16ths,100,Default Library,Rock
Dancing in the Moonlight,Thin Lizzy,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,130,Default Library,Rock
Daydream Believer,Monkees,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,128,Default Library,Rock
Dead Flowers,Rolling Stones,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,128,Default Library,Rock
Desperado,The Eagles,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,58,Default Library,Rock
Devil with a Blue Dress,Mitch Ryder,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,150,Default Library,Rock
Diamonds On The Inside,Ben Harper,Beat Buddy: Brushes 1- Str 8Beat Buddy Mini: Brushes 1Beat Buddy Mini 2: Brushes 1- Str 8,92,Default Library,Rock
Do You Believe in Magic,Lovin Spoonful,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,142,Default Library,Rock
Don't Close Your Eyes,Keith Whitley,Beat Buddy: Pop 11- 16thsBeat Buddy Mini: Pop 5Beat Buddy Mini 2: Pop 11- 16ths,80,Default Library,Rock
Don't let the Sun catch you crying,Gerry and the Pacemakers,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,100,Default Library,Rock
Don't Look Back In Anger,Oasis,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,84,Default Library,Rock
Don't Think Twice It's Alright,Bob Dylan,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,111,Default Library,Rock
Don't Dream It's Over,Crowded House,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,82,Default Library,Rock
Down Under,Men at Work,Beat Buddy: Pop 10- 8thsBeat Buddy Mini 2: Pop 10- 8ths,106,Default Library,Rock
Dreams,Fleetwood Mac,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,120,Default Library,Rock
Everybody Needs Somebody to love,Blues Brothers,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,196,Default Library,Rock
Fall Down,Toad the Wet Sprocket,Beat Buddy: Rock 1Beat Buddy Mini: Rock 1Beat Buddy Mini 2: Rock 1,152,Default Library,Rock
Fearless,Pink Floyd,Beat Buddy: Country 6- Str 8Beat Buddy Mini 2: Country 6- Str 8,73,Default Library,Rock
Fields Of Gold,Sting,Beat Buddy: Blues 2Beat Buddy Mini 2: Blues 2,104,Default Library,Rock
Folsom Prison Blues,Johnny Cash,Beat Buddy: Country 2- Train ShuffleBeat Buddy Mini: Country 2Beat Buddy Mini 2: Country 2- Train Shuffle,103,Default Library,Rock
For a Dancer,Jackson Browne,Beat Buddy: Blues 1Beat Buddy Mini: Blues 1Beat Buddy Mini 2: Blues 1,105,Default Library,Rock
